title,link,description,pubDate,source_id,country,category,language
"Kagame, First Lady hosts dinner in honour of UGHE leaders",https://www.newtimes.co.rw/article/32871/news/education/kagame-first-lady-hosts-dinner-in-honour-of-ughe-leaders,"President Paul Kagame and First Lady Jeannette Kagame hosted a dinner at Urugwiro Village on January 26 for philanthropists Bill and Joyce Cummings, Didi Bertrand Farmer, Ophelia D...",2026-01-26 21:45:22,newtimes,['rwanda'],"['top', 'politics']",english
"Kagame, First Lady host dinner in honour of UGHE leaders",https://www.newtimes.co.rw/article/32871/news/education/kagame-first-lady-host-dinner-in-honour-of-ughe-leaders,"President Paul Kagame and First Lady Jeannette Kagame hosted a dinner at Urugwiro Village on Monday, January 26, in honour of philanthropists Bill and Joyce Cummings, Didi Bertrand...",2026-01-26 21:45:22,newtimes,['rwanda'],"['top', 'politics', 'lifestyle']",english
"Rwanda sues British Government over abandoned asylum plan, potentially hitting UK taxpayer with £50million bill",https://www.dailymail.co.uk/news/article-15499631/Rwanda-sues-British-Government-abandoned-asylum-plan-potentially-hitting-UK-taxpayer-50million-bill.html,"The east African nation has launched legal action which could see the British taxpayer hit with a massive bill, potentially more than £50million.",2026-01-26 19:27:38,dailymailuk,['rwanda'],"['top', 'politics']",english
PHOTOS: Col Gatsinzi takes over as deputy Air Force chief,https://www.newtimes.co.rw/article/32870/news/security/photos-col-gatsinzi-takes-over-as-deputy-air-force-chief,Brig Gen Godfrey Gasana on Monday afternoon officially handed over the role of Air Force Deputy Chief of Staff to Col Dan Gatsinzi during a ceremony held at Rwanda Defence Force...,2026-01-26 17:50:30,newtimes,['rwanda'],"['top', 'lifestyle']",english
PHOTOS: Brig Gen Gasana hands over role of Air Force deputy chief of staff,https://www.newtimes.co.rw/article/32870/news/security/photos-brig-gen-gasana-hands-over-role-of-air-force-deputy-chief-of-staff,Brig Gen Godfrey Gasana on Monday afternoonofficially handed over the role of Air Force Deputy Chief of Staff to Col Dan Gatsinzi during a ceremony held at Rwanda Defence Force (...,2026-01-26 17:50:30,newtimes,['rwanda'],"['top', 'lifestyle']",english
Top 5 powerful Indian-origin billionaires who built wealth and influence in Africa,https://www.newtimes.co.rw/article/32869/news/top-5-powerful-indian-origin-billionaires-who-built-wealth-and-influence-in-africa,1. Anand Mahindra - Mahindra and Mahindra GroupAnand Mahindra’s engagement with Africa reflects his long-term belief in emerging markets as engines of global growth. With an esti...,2026-01-26 17:28:34,newtimes,['rwanda'],['top'],english
"Maser Group’s MDR releases Q4 financial results, strengthens long-term outlook",https://www.newtimes.co.rw/article/32868/news/maser-groups-mdr-releases-q4-financial-results-strengthens-long-term-outlook,"Maser Group’s Investment arm MDR Investments has released its Q4 financial results, highlighting a strengthening balance sheet, disciplined capital deployment, and a clear long-ter...",2026-01-26 17:20:21,newtimes,['rwanda'],"['business', 'top']",english
"Plasma exports set to start by year-end, says RBC",https://www.newtimes.co.rw/article/32867/news/health/plasma-exports-set-to-start-by-year-end-says-rbc,"Rwanda is expected to start exporting blood plasma for fractionation later this year, once the remaining technical and regulatory requirements are completed, according to Dr Thomas...",2026-01-26 16:19:41,newtimes,['rwanda'],"['business', 'top']",english
Heroes Cup 2026: AS Kigali eye final berth ahead of APR clash,https://www.newtimes.co.rw/article/32866/sports/football/heroes-cup-2026-as-kigali-eye-final-berth-ahead-of-apr-clash,"Semifinals January 28APR FC vs AS Kigali (Kigali Pelé Stadium, 3:00 PM) January 29Rayon Sports FC vs Police FC (Kigali Pelé Stadium, 3:00 PM) AS Kigali captain Jan...",2026-01-26 15:20:31,newtimes,['rwanda'],['sports'],english
Tigers sign American guard Anthony Tarke,https://www.newtimes.co.rw/article/32865/sports/basketball/tigers-sign-american-guard-anthony-tarke,"Tigers Basketball Club have acquired American shooting guard Anthony Tarke on a season-long deal.The 28-year-old brings valuable experience from the NBA G League, where he prev...",2026-01-26 15:11:39,newtimes,['rwanda'],['sports'],english
